linha_origem,Munícipios,EstacaoCodigo,Rios,Coordenadas (UTM),Altitude (m),Campanha,Periodo certificação,Ano,Data,Hora,Temp Ar,Temp Amostra,pH,Turbidez,Condutividade Eletrica,DBO,OD,OD (%),SolSuspensaoTotais,SolDissolvidosTotais,FosfatoTotal,NitrogenioTotal,NitrogenioAmoniacal,Nitratos,ColiformesTotais,AlcalinidadeTotal,CarbonoOrganicoTotal,OrtofosfatoTotal,DescargaLiquida,FosforoTotal,IQA,ColiformesTermotolerantes,Escherichia,CondutividadeEspecifica,Cloreto,Ortofosfato Dissolvido,IQA %,IQA CETESB
2,PORTO ACRE ,13610001,ACRE,,,Primeira,Primeiro,2016,2016-08-23,12:30,40.36,36.48,6.62,707.3775,,,8.7644,,,,,,,,,,,,29,,,<1,,0.1,,,,
3,RIO BRANCO,13601000,ACRE,,,Primeira,Primeiro,2016,2016-08-24,13:08,33.52,28.26,7.95,20.5566,,,7.5631,,,,,,,,,,,,,,,<1,,130.262,,,,
4,SENADOR GUIOMARD,13770000,IQUIRI,,,Primeira,Primeiro,2016,2016-08-25,13:37,31.43,26.68,7.37,72.9431,,,7.4126,,,,,,,,,,,,1,,,,,8.741,,,,
5,BRASILEIA,13459000,ACRE,,,Primeira,Primeiro,2016,2016-08-26,06:37,29.8,25.76,7.64,46.3196,,,7.3192,,,,,,,,,,,,,,,<1,,102.637,,,,
6,ASSIS BRASIL,13438000,ACRE,,,Primeira,Primeiro,2016,2016-08-26,09:55,34.23,29.98,7.74,39.8314,,,7.508,,,,,,,,,,,,4,,,<1,,288.28,,,,
7,PLACIDO DE CASTRO,15324300,ABUNA,,,Primeira,Primeiro,2016,2016-08-26,11:47,37.78,28,6.4,56.6373,,,7.0618,,,,,,,,,,,,10,,,,,31.537,,,,
8,XAPURI,13550001,ACRE,,,Primeira,Primeiro,2016,2016-08-26,20:47,31.89,29.33,7.38,63.1038,,,8.237,,,,,,,,,,,,,,,<1,,115.349,,,,
9,SENA MADUREIRA,13408000,IACO,,,Primeira,Primeiro,2016,2016-09-28, 09:02:00,35.9,31.15,8.37,85.8394,,,7.4162,,,,,,,,,,,,15,,,,,420.327,,,,
10,MANOEL URBANO ,13190000,PURUS,,,Primeira,Primeiro,2016,2016-09-29,05:48,26.1,30.07,7.05,44.5663,,,8.0001,,,,,,,,,,,,111,,,,,377.747,,,,
11,JORDAO,12557000,TARAUACA,,,Primeira,Primeiro,2016,2016-10-12,13:26,31.9,29.58,7.77,132.3087,,,9.4889,,,,,,,,,,,,40,,,,,268.975,,,,
12,MARECHAL THAUMATURGO,12369000,JURUA,,,Primeira,Primeiro,2016,2016-10-12,15:06,29.21,27.74,7.08,308.94431,,,5.1248,,,,,,,,,,,,271,,,,,191.197,,,,
13,PORTO WALTER,12389000,JURUA,,,Primeira,Primeiro,2016,2016-10-13,20:05,26.35,28.06,7.56,138.45261,,,6.2874,,,,,,,,,,,,180,,,,,143.359,,,,
14,MANCIO LIMA,12430000,MOA,,,Primeira,Primeiro,2016,2016-10-10,10:07,25.94,27.6,6.05,52.7142,,,6.927,,,,,,,,,,,,24,,,,,48.903,,,,
15,CRUZEIRO DO SUL,12500004,JURUA,,,Primeira,Primeiro,2016,2016-10-14,08:14,28.9,26.7,7.43,140.851,,,5.7246,,,,,,,,,,,,170,,,,,69.313,,,,
16,TARAUACA,12600002,TARAUACA,,,Primeira,Primeiro,2016,2016-10-15,15:22,29.9,29.94,7.76,319.8407,,,8.2533,,,,,,,,,,,,231,,,,,175.781,,,,
